Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Marcus Fizer,,1.4,1.1,0.5,0.4,0,-0.7
Hilton Armstrong,68.9,1.5,1.2,0.5,0.5,0.3,-0.1
Gary Gregor,68.7,1.4,1.1,0.8,0.5,0.5,-0.4
Steve Green,67.1,1.2,1.1,0.7,0.4,NA,NA
Chris Johnson,65.4,1.4,1.1,0.8,0.2,NA,NA
Fred Saunders,63.0,1.3,1.2,0.5,0.1,NA,NA
Anthony Miller,62.8,1.2,1.2,0.8,0.6,0,-0.1
Jarell Martin,62.5,1.3,0.8,0.6,0.5,NA,NA
John Thomas,62.0,1.5,0.9,0.4,0.4,0,NA
Chris Crawford,61.0,1.3,0.9,0.6,0.6,0.2,0.1
Bill Hosket,59.6,1,1,0.6,0.5,NA,NA
