Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Anthony Jones,,0.5,0.3,0
James White,95.6,0.5,0.3,0
Pete Myers,89.6,0.5,0.3,-0.1
Doug Lee,85.1,0.4,0.4,0
Craig Ehlo,77.5,0.5,0.2,0
Alan Anderson,77.3,0.4,0.3,0.1
Delaney Rudd,76.8,0.6,0.3,0.1
Jordan McRae,75.3,0.5,0.4,0.2
James Young,73.1,0.3,0.3,0.1
Elliot Williams,68.7,0.3,0.3,0.1
Briante Weber,68.4,0.4,0.3,0
