Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Jo Jo English,,0.1,0,-0.1
Dell Demps,-83.6,0.2,0,0
Jarell Eddie,-88.0,0.1,0.1,0
Demetrius Jackson,-91.0,0.2,0.1,-0.1
Dominique Jones,-91.6,0.2,0,0
A.J. Guyton,-91.7,0.3,0.1,-0.1
Awvee Storey,-91.8,0.2,0.1,0
Dwight Buycks,-92.1,0.2,0.1,0
Gerald Madkins,-93.2,0.3,0.1,0
Michael Phelps,-93.6,0.3,0.1,-0.1
Brad Holland,-94.1,0.3,0.1,-0.1
