Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Andy Johnson,,4.6,1.8,1.3,0.3
Tony Jaros,89.4,4.4,2.2,1.3,0.6
Donyell Marshall,88.1,4.2,1.3,1.3,0.3
Ed Nealy,87.7,4.7,2,1.9,0.3
Alex Hannum,86.2,5.1,1.7,1.6,NA
Donatas Motiejūnas,85.7,4.7,1.4,0.7,0.3
Jason Kapono,85.6,4.2,1.3,1.2,0.5
Tommy Byrnes,85.5,4,1.7,0.9,0.3
Allan Bristow,85.1,4.3,1.9,1.9,0.5
Carl Herrera,84.9,4.6,2.1,2,0.5
Bison Dele,84.8,4.7,2.3,1.8,0.3
