Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Andy Johnson,,4.6,1.8,1.3,0.3,NA,NA,NA,NA
Tony Jaros,89.4,4.4,2.2,1.3,0.6,NA,NA,NA,NA
Donatas Motiejūnas,83.3,4.7,1.4,0.7,0.3,0.2,-0.1,NA,NA
Tommy Byrnes,83.2,4,1.7,0.9,0.3,-0.2,NA,NA,NA
Mike Sweetney,82.9,3.8,2.1,1.4,0.4,NA,NA,NA,NA
Larry Stewart,80.3,4.7,2.9,1.6,0.5,0.1,NA,NA,NA
Sam Smith,79.8,4.6,3.3,1.4,0.2,NA,NA,NA,NA
Carl Herrera,79.7,4.6,2.1,2,0.5,0.1,0.1,-0.2,-0.3
Jaylen Brown,78.8,4.5,3,1.5,NA,NA,NA,NA,NA
Trey Lyles,78.7,3.9,2.3,1.2,0.8,NA,NA,NA,NA
Don Boven,78.3,3.8,2.2,1.5,NA,NA,NA,NA,NA
