,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1950-51,21,TOT,NBA,,8,,7,9,,,,19
1950-51,21,SYR,NBA,,8,,7,9,,,,19
1950-51,21,INO,NBA,,5,,4,7,,,,13
1951-52,22,INO,NBA,,8,,9,12,,,6,22
1952-53,23,PHW,NBA,,11,,13,15,,,6,23
1953-54,24,MLH,NBA,,7,,6,11,,,,18
Career,,,,,11,,13,15,,,,23
2 Seasons,,INO,NBA,,8,,9,12,,,,22
1 Season,,PHW,NBA,,11,,13,15,,,6,23
1 Season,,SYR,NBA,,8,,7,9,,,,19
1 Season,,MLH,NBA,,7,,6,11,,,,18
