Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Don Lofgran,,2.9,0.1,0.1,NA
Mike Farmer,84.7,3.2,0.1,-0.1,-0.1
Walter McCarty,82.3,2.9,0.5,0,-0.2
Jake Layman,78.5,3.1,-0.1,-0.3,NA
Larry Spriggs,77.1,2.6,0.5,0.1,0
J.J. Anderson,75.4,2.3,0.2,0.1,NA
DeMarre Carroll,72.6,3.1,0.5,0.5,0.1
Barry Clemens,70.5,2.8,0.9,0.1,0.1
Eric Moreland,70.2,2.3,0,0,0
Dick Schulz,69.9,2.9,0.8,0.6,0
Mark Strickland,68.9,2.8,1,0,0
