Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Don Lofgran,,2.9,0.1,0.1,NA,NA
Jake Layman,78.5,3.1,-0.1,-0.3,NA,NA
J.J. Anderson,75.4,2.3,0.2,0.1,NA,NA
Larry Spriggs,70.8,2.6,0.5,0.3,0.1,0
Eric Moreland,70.2,2.3,0,0,0,NA
Dick Schulz,69.9,2.9,0.8,0.6,0,NA
Dennis Hamilton,67.5,2.8,0.7,0.5,0,NA
Derrick Jones,66.7,2.9,1.1,0.4,NA,NA
Kenny Fields,65.7,2.8,0.7,0.7,0,NA
Richard Dumas,64.4,3.9,0.3,0.3,NA,NA
Alan Williams,63.6,2.1,0.2,0.2,0,NA
