Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1970-71,25,FLO,ABA,C,6,43,-1.3,0.325,0.091,0.273,NA,NA,NA,12.3,NA,3.9,NA,NA,-0.2,0,-0.1,-0.167
Career,NA,,ABA,,6,43,-1.3,0.325,0.091,0.273,NA,NA,NA,12.3,NA,3.9,NA,NA,-0.2,0,-0.1,-0.167
