Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1970-71,25,FLO,ABA,C,70,NA,16.4,2.4,5.3,0.457,0,0,0,2.4,5.3,0.458,0.457,1,1.7,0.6,1.5,3.3,4.7,0.8,NA,1.1,3,5.9
1971-72,26,FLO,ABA,C,6,NA,10.5,1,2.3,0.429,0,0,NA,1,2.3,0.429,0.429,1.5,2.5,0.6,1.2,3.5,4.7,1,NA,1.2,1.8,3.5
Career,NA,,ABA,,76,NA,16,2.3,5.1,0.456,0,0,0,2.3,5.1,0.457,0.456,1.1,1.8,0.6,1.4,3.3,4.7,0.8,NA,1.1,2.9,5.7
