Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Tyreke Evans,,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7,0.3,NA,NA
Matt Guokas,93.7,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5,0.3,NA,NA
Bob Weiss,92.3,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.4,1.4,1.1,0.1,0
Rory Sparrow,92.1,5.6,4.3,4.2,4.2,3.7,2.8,1.6,1,0.7,0.5,-0.1,-0.4
Ricky Davis,91.9,5.7,5,4.4,4.2,3,2.8,1.9,1.1,0.2,0.2,0.1,-0.4
Don Ohl,90.1,5.1,4.5,4.4,4.1,3.9,3.2,1.9,1.2,1.2,0.8,NA,NA
Walt Hazzard,89.8,5.4,5.3,5,4.5,3.3,2.5,2.2,1.1,0.6,0.2,NA,NA
Ramon Sessions,89.7,5.6,4.4,4.3,3.8,3.7,2.9,1.1,1.1,0.9,0.7,0.3,NA
Chucky Atkins,89.3,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5,0.3,0.2,-0.2,NA
Allen Leavell,88.8,5.1,4.8,4.3,4,3.8,3,2.4,1.9,0.6,-0.1,NA,NA
Hubert Davis,88.3,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1,-0.1
