Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2018-19,20,SAS,NBA,SG,6,21,8.7,0.375,0.125,0,0,10.2,5.1,21.1,0,0,0,17.6,NA,0,0,0,-0.034,NA,-3,-2.1,-5.1,0
Career,NA,,NBA,,6,21,8.7,0.375,0.125,0,0,10.2,5.1,21.1,0,0,0,17.6,NA,0,0,0,-0.034,NA,-3,-2.1,-5.1,0
