Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jan van Breda Kolff,,4.5,3.9,3.8,3.6,3.4,1.2,1.1,0.6,0.1
Popeye Jones,92.8,4.3,4.2,3.7,3.6,3.6,1.2,0.6,0.5,0.3
Tyler Hansbrough,91.8,4.4,3.9,3.8,3.4,3,1,0.7,NA,NA
Hakim Warrick,90.3,4.7,4,3.7,3.4,3.3,0.8,0.5,0,NA
Alvin Scott,90.2,4.4,4.3,4,3.8,2.9,1.7,1.2,0.8,NA
Ron Anderson,89.5,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.5,0.3
Eduardo Nájera,89.0,4.8,4.1,4,4,2.7,1.6,1.1,1.1,0.1
Dave Stallworth,87.6,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0,NA
Frank Brickowski,87.3,4.7,4.1,3.8,3.7,3.6,3.4,1.1,1,0.4
Vladimir Radmanović,86.4,4.2,3.8,3.7,3.5,2.7,2.1,1.9,0.8,0
Terry Catledge,86.0,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,NA
