Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
John Salley,,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5,0.6,0.5
Junior Bridgeman,92.6,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8
Brandon Bass,91.1,6.3,5.3,5.1,4.7,4.7,4.3,4.1,4.1,2,0.1,0
Jeff Green,91.1,6.6,5.2,4.8,4.7,4.2,3.9,3.6,3.3,3.1,0.7,0.2
Kenyon Martin,90.5,7.1,6.7,5.3,5,4.9,4,3.8,3.3,2.7,2.1,0
Keith Van Horn,89.8,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8,2.3,NA,NA
Jared Dudley,89.5,5.6,5.3,5.1,4.8,4.6,4.1,2.9,2.7,2.4,1.8,0.8
Larry Smith,89.5,6.1,5.4,5.2,4.7,4.4,4.3,4,3.7,3.1,2.6,0.3
Caron Butler,88.9,7.2,6.3,5.3,5.3,5.1,4.5,3.6,3.5,2.3,2.1,1.2
Thurl Bailey,88.8,6.8,6.5,5.4,4.6,4,3.7,3.6,3.1,2.6,2.6,1.2
Jim Washington,88.6,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5,0
