,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,26,AND,NBA,,12,,14,15,,,,33
1950-51,27,TRI,NBA,,13,,18,,,,,41
1951-52,28,FTW,NBA,,10,,13,16,,,6,30
1952-53,29,FTW,NBA,,9,,11,13,,,,22
1953-54,30,FTW,NBA,,8,,8,,,,,19
1954-55,31,FTW,NBA,,10,,11,13,,,5,31
1955-56,32,FTW,NBA,,5,,10,,,,,16
Career,,,,,13,,18,,,,,41
5 Seasons,,FTW,NBA,,10,,13,,,,,31
1 Season,,TRI,NBA,,13,,18,,,,,41
1 Season,,AND,NBA,,12,,14,15,,,,33
