Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Frankie Brian,,9.2,6.1,5.6,3.6,3,2.7,-0.2,NA,NA
George King,89.2,8.1,6.4,6.3,3.8,3.8,3,NA,NA,NA
Chuck Williams,87.0,10,6.1,4.7,3.8,3.2,3,1.3,0.6,NA
Fred Scolari,86.8,8.5,5.6,5.4,4.5,3.1,2.7,1.2,-0.7,NA
Flynn Robinson,86.4,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,NA
Warren Jabali,83.8,10.7,7.3,5.8,3.5,3.2,2.6,2.1,NA,NA
Johnny Moore,83.2,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1
Ronnie Brewer,83.0,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0,NA
Micheal Ray Richardson,81.9,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA
Kyle Macy,80.8,9.2,6.4,5,4.6,4.5,3.9,2.4,NA,NA
Andrew Toney,80.8,7.3,6.4,5.5,4,2.2,1.2,0.5,-0.2,NA
