Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Frankie Brian,,9.2,6.1,5.6,3.6,3,2.7,-0.2
Fred Scolari,91.5,8.5,5.6,5.4,4.5,3.1,2.7,NA
Chuck Williams,90.0,10,6.1,4.7,3.8,3.2,3,0.6
George King,89.2,8.1,6.4,6.3,3.8,3.8,3,NA
Flynn Robinson,89.1,9.3,6.7,4.9,3.6,3.3,2.2,1.3
Vinny Del Negro,87.2,8.3,6.8,5.7,3.5,3.1,2.5,2.2
Ron Harper,87.2,10.2,6,5.6,4.2,3.9,3.5,0.9
Mo Williams,86.5,9.8,6.7,4.5,3.2,2.5,2.2,0.2
Kendall Gill,85.3,8.8,6.7,4.7,4.6,3.2,2.9,1.8
Allan Houston,85.1,8.6,7.1,6.1,4.7,3.8,2.9,-1.2
Latrell Sprewell,84.5,8.1,8,5.5,4,3,2,0.4
