Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1949-50,26,AND,NBA,,8,NA,NA,0.406,0.5,NA,NA,NA,NA,NA,0.1,0.7,0.9,NA
1951-52,28,FTW,NBA,SG,2,81,4,0.319,0.25,NA,NA,NA,19.4,NA,-0.2,0,-0.2,-0.109
1952-53,29,FTW,NBA,SG,8,146,9.7,0.425,0.595,NA,NA,NA,20.7,NA,0,0,0.1,0.019
1953-54,30,FTW,NBA,SG,4,106,17.1,0.476,0.444,NA,NA,NA,22.1,NA,0.1,0.1,0.2,0.111
1954-55,31,FTW,NBA,SG,11,269,14.5,0.464,0.317,NA,NA,NA,20.9,NA,0.3,0.2,0.5,0.096
1955-56,32,FTW,NBA,PG,10,166,13,0.447,0.309,NA,NA,NA,19.6,NA,0.1,0.2,0.3,0.094
Career,NA,,NBA,,43,768,12.5,0.434,0.399,NA,NA,NA,20.6,NA,0.6,1.3,1.8,0.061
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,FTW,NBA,,35,768,12.5,0.444,0.366,NA,NA,NA,20.6,NA,0.4,0.6,1,0.061
1 season,NA,AND,NBA,,8,NA,NA,0.406,0.5,NA,NA,NA,NA,NA,0.1,0.7,0.9,NA
