Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Alaa Abdelnaby,,2.1,2,0.5,0.3,-0.1,NA,NA,NA
Stan Love,86.4,2.2,2.1,0.7,0.6,NA,NA,NA,NA
Joe Holup,84.0,2.1,1.8,0.3,NA,NA,NA,NA,NA
Donnell Harvey,83.6,2,1.8,0.7,0.2,0.1,NA,NA,NA
Sam Pellom,83.5,2.2,1.8,0.7,0,NA,NA,NA,NA
Ben Coleman,81.3,2,1.8,0.8,0.5,0,NA,NA,NA
Bob Bedell,80.8,2.4,2.2,0.8,0.1,NA,NA,NA,NA
Cheick Diallo,80.5,2.6,1.9,0.5,NA,NA,NA,NA,NA
Jim Palmer,79.8,2.4,1.9,0.2,NA,NA,NA,NA,NA
Dave Sorenson,79.0,2.6,2.1,0.7,NA,NA,NA,NA,NA
Jonathan Bender,75.7,2,1.7,0.5,0.2,0,-0.1,-0.2,-0.2
