Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Alaa Abdelnaby,,2.1,2,0.5,0.3,-0.1
Stan Love,86.4,2.2,2.1,0.7,0.6,NA
Joe Holup,84.0,2.1,1.8,0.3,NA,NA
Donnell Harvey,83.6,2,1.8,0.7,0.2,0.1
Sam Pellom,83.5,2.2,1.8,0.7,0,NA
Dorell Wright,83.1,2.2,1.9,0.2,-0.1,-0.1
Ben Coleman,81.3,2,1.8,0.8,0.5,0
Bob Bedell,80.8,2.4,2.2,0.8,0.1,NA
Cheick Diallo,80.5,2.6,1.9,0.5,NA,NA
Jim Palmer,79.8,2.4,1.9,0.2,NA,NA
Kevin Séraphin,79.3,2.3,1.7,0.8,0.2,0.1
