Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Jim Eakins,,9,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9
Marcin Gortat,94.8,8.6,8.1,7.6,7.3,6.8,6.4,3.4,3.4,3.3,0.1
Tom Owens,90.4,10.4,8.3,8,6.9,6.9,6,4.8,2.9,2.5,0.9
Al Jefferson,90.0,7.8,7.8,7.7,7.7,7.5,6.6,4.9,4.6,2.7,2.3
Clifford Ray,89.7,8.7,8.2,8.1,7,6.9,6.7,5.7,3.8,1.9,-0.3
Brook Lopez,88.4,9,7.9,7,6.3,6.2,5.8,4.9,3.8,2.3,0.3
Zydrunas Ilgauskas,88.1,9.4,8.7,8.1,7.8,6.6,6.1,5,2.5,0.7,0.5
Mehmet Okur,87.7,9.3,8.8,7.4,7,6.7,5.9,5.6,3.8,0.2,0
Brad Miller,87.5,10,9.6,9.1,8.6,8.3,6.5,3.8,3.4,2.7,2.1
Swen Nater,87.3,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,-0.1
Nate Thurmond,87.0,9.9,9,7.2,7.2,6.5,6.1,5.2,4.3,3.7,3.5
