Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Mike Davis,,2.2,1.2,0.9,0.6,NA,NA
Bo Lamar,86.8,2.5,1.5,1,0.5,NA,NA
Raul Neto,86.3,1.8,1.1,0.9,0.7,NA,NA
Justin Anderson,85.9,1.9,1.2,1.1,0.4,NA,NA
Donnie Butcher,84.9,1.9,1.2,1.1,0.5,-0.3,NA
A.J. Price,83.9,2.2,1.2,0.7,0.3,0.3,0
Ian Clark,83.2,2.3,1.1,0.9,0.2,-0.1,-0.1
Chris Douglas-Roberts,82.8,2.4,1.6,0.7,0.6,0.1,0
Courtney Alexander,82.4,2.2,1.1,0.8,NA,NA,NA
Kenny Higgs,81.4,2.2,1.5,1,NA,NA,NA
Mike Holton,81.4,2.3,1.3,0.8,0.3,0.2,-0.2
