Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,24,DLC,ABA,C,77,NA,2172,4.1,10.3,0.395,0,0,NA,4.1,10.3,0.395,1.9,3.5,0.542,4.5,8.9,13.4,1,1.9,5.4,10.1
1969-70,25,TOT,ABA,C,70,NA,1190,3.2,8.6,0.37,0,0.1,0,3.2,8.5,0.372,1.7,2.8,0.596,3.9,8.3,12.2,1.8,2.6,5.6,8
1969-70,25,DLC,ABA,C,48,NA,966,3.4,8.6,0.397,0,0,0,3.4,8.6,0.398,1.8,2.9,0.615,3.8,8.5,12.3,1.9,2.5,5.6,8.6
1969-70,25,PTP,ABA,C,6,NA,59,2.4,7.3,0.333,0,0,NA,2.4,7.3,0.333,1.8,5.5,0.333,1.2,7.9,9.2,1.8,2.4,3.7,6.7
1969-70,25,NYA,ABA,C,16,NA,165,2,8.7,0.225,0,0.2,0,2,8.5,0.231,1.1,1.5,0.714,5.9,7.2,13.1,0.7,2.8,6.5,5
Career,NA,,ABA,,147,NA,3362,3.8,9.7,0.387,0,0,0,3.8,9.7,0.388,1.8,3.3,0.558,4.3,8.7,13,1.2,2.2,5.5,9.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DLC,ABA,,125,NA,3138,3.9,9.8,0.395,0,0,0,3.9,9.8,0.396,1.9,3.3,0.562,4.3,8.8,13.1,1.3,2.1,5.5,9.6
1 season,NA,NYA,ABA,,16,NA,165,2,8.7,0.225,0,0.2,0,2,8.5,0.231,1.1,1.5,0.714,5.9,7.2,13.1,0.7,2.8,6.5,5
1 season,NA,PTP,ABA,,6,NA,59,2.4,7.3,0.333,0,0,NA,2.4,7.3,0.333,1.8,5.5,0.333,1.2,7.9,9.2,1.8,2.4,3.7,6.7
