Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,24,DLC,ABA,C,77,2172,10.3,0.424,0,0.343,NA,NA,17,3.6,14,14.6,NA,-1.5,1.7,0.2,0.004
1969-70,25,TOT,ABA,C,70,1190,7,0.409,0.007,0.331,NA,NA,15,5.8,20.7,12.5,NA,-1,1,0,0.001
1969-70,25,DLC,ABA,C,48,966,8.1,0.436,0.004,0.336,NA,NA,14.9,6.5,20.3,12.5,NA,-0.4,0.8,0.4,0.018
1969-70,25,PTP,ABA,C,6,59,3.3,0.345,0,0.75,NA,NA,10.8,6,20,12.2,NA,-0.1,0,-0.1,-0.045
1969-70,25,NYA,ABA,C,16,165,1.8,0.267,0.025,0.175,NA,NA,17.5,2.2,23.2,12.8,NA,-0.5,0.2,-0.3,-0.081
Career,NA,,ABA,,147,3362,9.2,0.419,0.002,0.34,NA,NA,16.3,4.4,16.2,13.8,NA,-2.5,2.7,0.2,0.003
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DLC,ABA,,125,3138,9.7,0.427,0.001,0.342,NA,NA,16.4,4.5,15.8,13.9,NA,-1.9,2.5,0.6,0.009
1 season,NA,NYA,ABA,,16,165,1.8,0.267,0.025,0.175,NA,NA,17.5,2.2,23.2,12.8,NA,-0.5,0.2,-0.3,-0.081
1 season,NA,PTP,ABA,,6,59,3.3,0.345,0,0.75,NA,NA,10.8,6,20,12.2,NA,-0.1,0,-0.1,-0.045
