,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,24,DLC,ABA,,10,,0,,,,7,13,,,,,,,24
1969-70,25,TOT,ABA,,7,,0,,,,4,8,,,,,,,18
1969-70,25,DLC,ABA,,7,,0,,,,4,8,,,,,,,18
1969-70,25,PTP,ABA,,2,,0,,,,2,4,,,,,,,5
1969-70,25,NYA,ABA,,3,,0,,,,2,2,,,,,,,6
Career,,,,,10,,0,,,,7,13,,,,,,,24
2 Seasons,,DLC,ABA,,10,,0,,,,7,13,,,,,,,24
1 Season,,NYA,ABA,,3,,0,,,,2,2,,,,,,,6
1 Season,,PTP,ABA,,2,,0,,,,2,4,,,,,,,5
