Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Juan Dixon,,2,1.7,1.4,1.2,0.4,0.1,-0.5,NA
Dave Wohl,84.1,2.1,1.7,1.4,1,0.2,0,-0.2,NA
Joe Hassett,82.7,2,1.6,1.4,0.9,0.5,0,NA,NA
Nelson Bobb,80.5,2,1.8,1.2,1.1,NA,NA,NA,NA
Med Park,78.2,1.9,1.9,1.8,1.6,0.4,NA,NA,NA
Lee Mayberry,77.8,2.1,1.8,1.6,1.6,0.4,0.4,-0.1,NA
Will Bynum,77.2,1.9,1.7,1.5,1.3,1,-0.1,-0.2,-0.2
Jerry Fleishman,76.0,2.2,2.1,1.6,1.3,0.6,NA,NA,NA
Todd Lichti,75.9,1.8,1.3,1.2,1,0.2,NA,NA,NA
Mike Barr,72.9,2.7,1.7,1.4,0.7,0.4,NA,NA,NA
Brian Roberts,72.9,2.2,2.2,1.8,1,0.2,NA,NA,NA
