Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Dahntay Jones,,2,2,1.8,1.2,0.9,0.7,0.6,0.6,0.4,0.1,0,0,-0.4,NA,NA
Shelvin Mack,79.3,2.3,1.9,1.4,1.3,1.3,0.9,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
Alonzo Gee,78.2,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1,NA,NA,NA,NA,NA,NA,NA
Ledell Eackles,74.7,2.4,2.1,2,1.2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Wes Matthews,74.2,3,2.6,1.6,1.3,0.8,0.7,0.6,0.4,0.1,NA,NA,NA,NA,NA,NA
Dion Waiters,74.1,2.1,1.6,1.6,1.2,1.1,0.9,0.1,NA,NA,NA,NA,NA,NA,NA,NA
Randy Brown,73.8,2.4,1.9,1.8,1.6,1.5,1,0.9,0.4,0.3,0.2,0,-0.8,NA,NA,NA
David Wingate,73.8,2.4,2.3,1.9,1.7,1.4,1,0.6,0.4,0.3,0.2,0.1,0.1,0,-0.1,-0.5
Gary Grant,72.0,3,1.7,1.6,1.4,1.3,1.3,1.1,0.6,0.4,0.1,0,0,-0.4,NA,NA
John Crotty,71.5,2.4,2.2,2.1,1.9,1.3,1,0.8,0.3,0.1,0.1,-0.1,NA,NA,NA,NA
Si Green,70.7,2.6,2.6,1.6,1,0.8,0.8,0.4,0.1,NA,NA,NA,NA,NA,NA,NA
