Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Quincy Lewis,,0.3,0.3,0.1,0
Adrian Caldwell,79.4,0.4,0.3,0.1,0
Mark Randall,71.0,0.5,0.3,0.2,0
Alex Poythress,70.6,0.5,0.3,0.1,NA
Gene James,69.6,0.5,0.3,0.1,NA
Chris McCullough,67.3,0.3,0.2,0.1,NA
Anthony Cook,64.0,0.5,0.4,0.1,0.1
Roderick McDonald,62.5,0.5,0.5,0.2,NA
David Vaughn,60.1,0.4,0.2,0.1,-0.1
Jamal Sampson,59.9,0.5,0.4,0.2,0
Josh Davis,59.8,0.5,0.3,0,0
