Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Quincy Lewis,,0.3,0.3,0.1,0,NA,NA
Mark Randall,71.0,0.5,0.3,0.2,0,NA,NA
Alex Poythress,70.6,0.5,0.3,0.1,NA,NA,NA
Gene James,69.6,0.5,0.3,0.1,NA,NA,NA
Chris McCullough,67.3,0.3,0.2,0.1,NA,NA,NA
Anthony Cook,64.0,0.5,0.4,0.1,0.1,NA,NA
Adrian Caldwell,63.0,0.4,0.3,0.2,0.1,0,0
Roderick McDonald,62.5,0.5,0.5,0.2,NA,NA,NA
David Vaughn,60.1,0.4,0.2,0.1,-0.1,NA,NA
Josh Davis,59.8,0.5,0.3,0,0,NA,NA
Devin Ebanks,53.4,0.4,0.3,-0.1,NA,NA,NA
