Season,Team,Lg,Salary
1999-00,Utah Jazz,NBA,"$930,720"
2000-01,Utah Jazz,NBA,"$1,000,440"
2001-02,Utah Jazz,NBA,"$1,070,280"
2003-04,Minnesota Timberwolves,NBA,"$202,341"
Career,(may be incomplete),,"$3,203,781"
