Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Eddie Griffin,,3.9,3.2,2.4,1.5,-0.2,NA
Reggie Johnson,96.4,3.9,3,2.4,1.6,NA,NA
Derrek Dickey,91.5,3.8,3.1,2.3,1.7,0.3,NA
Frank Kaminsky,91.4,3.6,3.3,2.3,1.8,NA,NA
Bill Garnett,91.1,3.9,3.5,2,1.5,NA,NA
Dwight Davis,89.6,3.7,3.3,2.3,1.5,0.6,NA
Collis Jones,89.3,4.2,3.2,2.1,1.2,NA,NA
Bob Doll,88.5,4,2.8,1.8,1.6,NA,NA
Richard Washington,88.4,3.9,3.2,2.1,2,0,-0.5
Frank Card,87.3,4.2,2.6,2.4,1.9,0.1,NA
Dave Budd,87.1,4.1,3.2,2.3,1.2,0.9,NA
