Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Derrek Dickey,,3.8,3.1,2.3,1.7,0.3,NA,NA,NA
Reggie Johnson,94.5,3.9,3,2.4,1.6,NA,NA,NA,NA
Dwight Davis,93.4,3.7,3.3,2.3,1.5,0.6,NA,NA,NA
Frank Kaminsky,92.1,3.6,3.3,2.3,1.8,NA,NA,NA,NA
Eddie Griffin,91.5,3.9,3.2,2.4,1.5,-0.2,NA,NA,NA
Bob Doll,88.5,4,2.8,1.8,1.6,NA,NA,NA,NA
Bill Garnett,88.1,3.9,3.5,2,1.5,NA,NA,NA,NA
Dave Budd,88.0,4.1,3.2,2.3,1.2,0.9,NA,NA,NA
Stacey King,87.6,3.6,3.1,1.9,1.5,0.9,0.1,0,-0.2
Chuck Cooper,87.2,3.3,3.1,2.4,1.7,1.1,0,NA,NA
Frank Card,87.1,4.2,2.6,2.4,1.9,0.1,NA,NA,NA
