Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1973-74,22,GSW,NBA,PF,66,930,13.4,0.536,0.283,12.8,21.5,17.2,7.1,0.8,0.8,NA,NA,NA,1.3,1,2.3,0.116,NA,-0.1,-0.7,-0.8,0.3
1974-75,23,GSW,NBA,PF,80,1859,13.1,0.501,0.174,9.9,19,14.4,8.5,1.2,0.5,NA,NA,NA,2,1.8,3.8,0.098,NA,-0.2,-0.8,-1.1,0.4
1975-76,24,GSW,NBA,PF,79,1207,13.9,0.494,0.167,9.2,18.4,13.9,9.2,1,0.5,NA,NA,NA,1.4,1.7,3.1,0.122,NA,-0.3,-0.6,-0.9,0.3
1976-77,25,GSW,NBA,PF,49,856,14,0.485,0.177,11.7,16.6,14.2,9.7,1,0.7,NA,NA,NA,0.9,0.8,1.7,0.093,NA,-0.2,-1.4,-1.6,0.1
1977-78,26,TOT,NBA,PF,47,493,10.5,0.477,0.182,7.6,13.2,10.3,6.1,1.3,0.4,15.8,20.4,NA,-0.1,0.4,0.3,0.033,NA,-2.6,-1.1,-3.7,-0.2
1977-78,26,GSW,NBA,PF,22,273,14,0.495,0.131,7.7,10.6,9.1,5.9,1.7,0.4,11,22.2,NA,0.2,0.3,0.5,0.084,NA,-1.1,-1,-2.1,0
1977-78,26,CHI,NBA,PF,25,220,6.1,0.445,0.279,7.5,16.3,11.9,6.3,0.9,0.5,23.1,18.2,NA,-0.3,0.1,-0.1,-0.031,NA,-4.3,-1.3,-5.6,-0.2
Career,NA,,NBA,,321,5345,13.2,0.498,0.188,10.3,18.4,14.4,8.4,1.1,0.6,15.8,20.4,NA,5.5,5.6,11.1,0.1,NA,-0.4,-0.9,-1.3,0.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,GSW,NBA,,296,5125,13.5,0.501,0.184,10.4,18.4,14.5,8.5,1.1,0.6,11,22.2,NA,5.8,5.5,11.3,0.105,NA,-0.3,-0.9,-1.1,1.1
1 season,NA,CHI,NBA,,25,220,6.1,0.445,0.279,7.5,16.3,11.9,6.3,0.9,0.5,23.1,18.2,NA,-0.3,0.1,-0.1,-0.031,NA,-4.3,-1.3,-5.6,-0.2
