Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,22,GSW,NBA,PF,66,NA,930,5.4,11,0.494,2.4,3.1,0.773,5.8,10.2,16.1,2.6,0.8,0.7,NA,5.3,13.3,NA,NA,98
1974-75,23,GSW,NBA,PF,80,NA,1859,6.6,13.7,0.482,1.6,2.4,0.667,4.6,8.6,13.2,3,1.2,0.5,NA,4.8,14.7,NA,NA,98
1975-76,24,GSW,NBA,PF,79,NA,1207,8.1,17.4,0.465,2.3,2.9,0.785,4.2,8.6,12.8,3,1,0.4,NA,5.2,18.4,NA,NA,96
1976-77,25,GSW,NBA,PF,49,NA,856,8.2,18,0.458,2.3,3.2,0.738,5.2,7.3,12.5,3.3,1,0.6,NA,5.3,18.8,NA,NA,101
1977-78,26,TOT,NBA,PF,47,NA,493,8.1,18.5,0.439,2.8,3.4,0.833,3.4,5.7,9.1,2,1.3,0.4,3.7,5.2,19.1,NA,92,102
1977-78,26,GSW,NBA,PF,22,NA,273,10,21.6,0.462,2.7,2.8,0.941,3.5,4.6,8.1,1.8,1.7,0.3,2.8,4.8,22.6,NA,99,101
1977-78,26,CHI,NBA,PF,25,NA,220,5.8,14.6,0.397,3,4.1,0.737,3.2,7.1,10.3,2.1,0.9,0.4,4.9,5.8,14.6,NA,82,104
Career,NA,,NBA,,321,NA,5345,7.1,15.2,0.47,2.1,2.8,0.745,4.7,8.4,13.1,2.9,1.1,0.5,0.3,5.1,16.4,NA,92,98
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,GSW,NBA,,296,NA,5125,7.2,15.2,0.473,2.1,2.8,0.745,4.8,8.5,13.3,2.9,1.1,0.5,0.1,5.1,16.4,NA,99,98
1 season,NA,CHI,NBA,,25,NA,220,5.8,14.6,0.397,3,4.1,0.737,3.2,7.1,10.3,2.1,0.9,0.4,4.9,5.8,14.6,NA,82,104
