,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1974-75,23,GSW,NBA,,7,9,2,6,,,10,3,,,,6,14,
1975-76,24,GSW,NBA,,7,10,4,5,,,7,3,,,,4,18,
Career,,,,,7,10,4,6,,,10,3,,,,6,18,
