Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Derrek Dickey,,3.8,3.1,2.3,1.7,0.3
Reggie Johnson,94.5,3.9,3,2.4,1.6,NA
Luke Walton,94.3,3.8,3.2,2,1.6,0.5
Scott Williams,94.0,3.9,3.1,2.3,1.7,0.9
Dwight Davis,93.4,3.7,3.3,2.3,1.5,0.6
Frank Kaminsky,92.1,3.6,3.3,2.3,1.8,NA
Eddie Griffin,91.5,3.9,3.2,2.4,1.5,-0.2
Antoine Carr,91.1,3.8,3.3,2.2,2.1,0.7
Ron Anderson,90.6,4.4,3.1,2.5,1.5,0.3
Phil Jackson,90.6,4.2,3.2,2.5,1.7,0.5
Richard Washington,90.4,3.9,3.2,2.1,2,0
