Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Russell Westbrook,,14,13.1,11.6,10.6,10.1,9.4,7.9,6.8,6.1,5.2,1.9
Clyde Drexler,91.7,13.2,12.8,12.6,12.4,11.6,10.3,7.5,6.8,6.7,6,2.4
Kevin Johnson,90.5,12.7,12.2,11.7,11.6,10,8.7,8.2,5.1,4.8,4,3.5
Gary Payton,90.4,13.9,12.9,12.5,11.7,11.5,10.8,9.3,7.8,7.2,3.9,3.4
Dwyane Wade,89.7,14.7,14.4,13,12.8,11,9.6,8.8,7.7,5.5,4.6,3.3
Vince Carter,89.3,12.9,11.8,10.5,9.4,9.3,7.7,7.5,7,6,5,4.2
Ray Allen,89.0,13.7,10.7,10.1,9.5,9.1,8.9,7,6.9,6.3,5.2,4.9
Jeff Hornacek,88.4,11.6,10.2,10.2,10.1,9.7,8.7,7.7,6.9,6.3,5,1.2
Sidney Moncrief,87.2,13.4,13.2,12.7,11.7,11.2,9.9,5,4.9,3.7,2.9,1.8
Steve Nash,87.2,12.6,12.4,11.6,10.9,9.9,8.8,8.4,4.8,3,1,0.7
Kobe Bryant,87.0,15.3,14.9,13,12.7,11.3,10.7,10.6,8.1,6.3,5.2,1.8
