Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Bob Thornton,,0.9,0.4,0.3,0.1,0,0,-0.2,-0.3
Ronald Dupree,65.3,1,0.5,0.3,0.1,0,0,NA,NA
Cal Bowdler,61.7,1,0.5,0.2,NA,NA,NA,NA,NA
Jerrod Mustaf,59.1,0.8,0.5,0.4,0,NA,NA,NA,NA
Bob Peterson,59.0,0.9,0.4,0.2,NA,NA,NA,NA,NA
Viktor Khryapa,56.3,1.3,0.4,0.3,0,NA,NA,NA,NA
Shavlik Randolph,54.6,1.1,0.7,0.4,0.1,0,0,0,0
Maceo Baston,51.8,1.1,0.5,0.4,0.3,NA,NA,NA,NA
Mark Hendrickson,51.2,0.9,0.8,0.3,0.1,NA,NA,NA,NA
Winston Bennett,49.1,1.1,0.3,0.2,NA,NA,NA,NA,NA
Christian Wood,48.8,0.8,0.3,0.3,NA,NA,NA,NA,NA
