,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2017-18,23,GSW,NBA,C,57,809,.627,4.0,.978,.703,.130,.103,.043,.022,.641,.700,.417,.632,.375,.000,.733,.292,44,,.000,,0,0
2018-19,24,GSW,NBA,C,68,788,.516,8.1,.990,.484,.109,.172,.224,.010,.521,.688,.381,.455,.279,.000,.737,.198,32,,.000,,1,0
2019-20,25,TOT,NBA,C-PF,29,256,.522,7.2,.821,.627,.119,.045,.030,.179,.564,.643,.500,.000,.000,.333,.742,.134,8,.750,.667,.500,0,0
2019-20,25,MIN,NBA,C,27,235,.533,6.1,.850,.683,.117,.050,.000,.150,.588,.634,.571,.000,,.222,.733,.150,8,.500,.556,.400,0,0
2019-20,25,MEM,NBA,PF,2,21,.429,16.7,.571,.143,.143,.000,.286,.429,.250,1.000,.000,,.000,.667,1.000,.000,0,1.000,1.000,.667,0,0
Career,,,NBA,,154,1853,.563,6.2,.959,.597,.119,.124,.119,.041,.577,.687,.415,.491,.283,.222,.736,.227,84,.750,.444,.500,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,GSW,NBA,,125,1597,.570,6.1,.984,.592,.119,.138,.135,.016,.580,.695,.400,.519,.294,.000,.735,.244,76,,.000,,1,0
1 season,,MIN,NBA,,27,235,.533,6.1,.850,.683,.117,.050,.000,.150,.588,.634,.571,.000,,.222,.733,.150,8,.500,.556,.400,0,0
1 season,,MEM,NBA,,2,21,.429,16.7,.571,.143,.143,.000,.286,.429,.250,1.000,.000,,.000,.667,1.000,.000,0,1.000,1.000,.667,0,0
