Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jim Tucker,,1,0.3,0,NA,NA
Kenny Dennard,88.9,1.1,0.3,0.1,NA,NA
David Thirdkill,81.5,1,0.3,0,0,-0.1
Bob Peterson,78.8,0.9,0.4,0.2,NA,NA
Jackie Moore,77.6,0.9,0.5,NA,NA,NA
Terence Morris,77.6,0.9,0.2,-0.1,NA,NA
Winston Bennett,75.7,1.1,0.3,0.2,NA,NA
Ivano Newbill,73.8,1.1,0.1,-0.1,NA,NA
Scott Roth,72.7,0.7,0.3,0.1,NA,NA
Jamie Watson,71.7,0.8,0.3,0.1,0,NA
Cal Bowdler,70.6,1,0.5,0.2,NA,NA
