Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Craig Hodges,,6,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5
Lester Conner,91.5,6.2,5.9,3.7,2.8,2.7,2.7,2.1,0.8,0.7,0.5
Hubert Davis,89.3,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.1
Bimbo Coles,88.1,5.7,5,3.2,3,2.8,2.7,2.3,1.1,0.9,0.5
Nate Robinson,87.9,5.9,5.9,3.2,3.2,2.8,2.2,1.8,1.5,1.1,0.3
Lucious Harris,87.8,5.1,4.7,4.1,3.1,2.8,2.1,1.1,0.8,0.6,0.4
Fred Hoiberg,87.3,6.1,5.9,5.2,2.7,2.3,2.1,1.8,1.3,0.2,0
Foots Walker,87.3,6.1,5.2,4.2,3.4,3.4,3,2.3,1.5,1.5,0.3
Ricky Davis,87.0,5.7,5,4.4,4.2,3,2.8,1.9,1.1,0.2,0.2
Gerald Henderson,87.0,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.1
Quentin Richardson,86.8,5.8,5.8,5.6,3.5,3,2.4,2.1,1,0.7,0.3
