Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Delon Wright,,4.5,4.3,1.1,0.6
Don Ohl,95.1,4.5,4.1,1.2,0.8
Doug West,91.9,4.6,4.3,1.2,-0.1
Rick Mount,90.6,4.6,3.5,1.1,0.7
Allen Crabbe,90.5,4.3,4.2,1.3,0.1
Charles Dudley,89.3,4.6,4,1.6,0.2
Ramon Sessions,88.0,5.6,4.4,1.1,0.7
Al Wood,85.6,4.4,4.2,2.3,0.9
Paul Hoffman,85.2,4.7,4.1,2.2,0.8
Kelenna Azubuike,85.0,4.1,3.4,1.2,0.7
Fred VanVleet,84.9,4.7,4.3,0.2,NA
