Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Delon Wright,,4.5,4.3,1.1,0.6,NA,NA
Rick Mount,86.1,4.6,3.5,1.1,0.7,0.6,NA
Fred VanVleet,84.9,4.7,4.3,0.2,NA,NA,NA
Kelenna Azubuike,83.9,4.1,3.4,1.2,0.7,-0.1,NA
Tomáš Satoranský,82.3,5,4.7,0.6,NA,NA,NA
Freeman Williams,82.0,4.1,4,1.8,0.4,-0.1,-0.2
Joe Harris,81.1,5.5,4,0.8,0.2,0,NA
Jim Spanarkel,79.6,5.5,5.2,1,0.4,0.2,NA
Paul Hoffman,78.0,4.7,4.1,2.2,1.1,0.8,NA
Reggie Bullock,77.9,4.2,3.1,1.2,1,0.2,0.1
Jamal Murray,76.8,5.5,5.1,1.3,NA,NA,NA
