Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Charles Smith,,2,0.3,0,-0.3,-0.5
Willie Green,62.4,2.1,0.1,0,-0.1,-0.7
Jannero Pargo,61.6,2,0.2,0.1,0.1,-0.1
Travis Mays,60.5,2.1,0.3,0,NA,NA
Freddie Boyd,53.4,2.1,0.4,-0.2,-0.3,-0.7
Jerry Eaves,53.4,2,0.7,0,-0.1,NA
Mark Davis,52.8,2.3,0.2,-0.1,-0.1,-0.1
Win Wilfong,51.2,2.1,0.6,0.2,-0.3,NA
John Kuester,50.5,1.9,0.1,0,NA,NA
Andre Turner,49.3,1.9,0,-0.1,-0.1,-0.3
Milt Palacio,48.5,1.8,0.8,0.2,-0.3,-0.5
