Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Wally Walker,,3.5,2.1,2,1.9,1.8,0.9,0.5,0.1
Mark Landsberger,90.8,3.4,2.2,2.2,1.9,1.7,0.4,0.3,NA
Kevin Restani,85.0,3.5,2.6,2.2,2.1,2,1.8,0.5,0
Darrell Arthur,84.5,3.8,2.3,1.7,1.7,1.1,0.9,0.7,0.3
Scott Padgett,84.5,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
Chucky Brown,84.4,4.2,2.2,2.2,2.1,1.6,1.6,0.3,0
Brad Lohaus,83.5,3.3,2.7,2.7,1.8,1.5,0.9,0.9,0.1
Joe Bryant,83.3,3.4,2.2,1.8,1.5,1.5,1.3,1.2,0
Sidney Green,83.3,3.4,2.7,2.5,2,1.9,1.7,0.6,0.3
Matt Bullard,82.7,3.4,2.5,2.4,1.7,1,0.6,0.5,0.2
Brian Skinner,82.6,4.1,2.7,1.9,1.9,1.1,0.9,0.3,0.1
