Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Keon Clark,,5.3,4.7,4.2,3.7,0.2,0,NA
Goo Kennedy,90.4,5.7,5,4.5,4,0.8,0.3,NA
Julius Keye,88.4,5.3,4.3,3.6,3.6,1.2,-0.2,NA
Michael Brooks,87.5,4.9,4.7,4.5,2.4,0,0,NA
Randolph Mahaffey,87.1,5.7,4.7,3.7,2.6,NA,NA,NA
Aaron Gordon,86.2,5.4,5.1,3.7,2.9,1,NA,NA
DeJuan Blair,83.5,4.8,4.6,4,3.4,2.2,0.1,-0.1
Jared Sullinger,83.4,4.8,4,3.9,2.7,-0.1,NA,NA
Larry Nance,82.4,5.8,4.9,3.5,2.2,NA,NA,NA
Chuck Gilmur,81.0,4.6,4.5,4.3,1.7,-0.1,NA,NA
Jack Kerris,80.6,5.9,5.7,4.1,2.1,NA,NA,NA
