Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Keon Clark,,5.3,4.7,4.2,3.7,0.2,0
Goo Kennedy,90.4,5.7,5,4.5,4,0.8,0.3
Julius Keye,88.4,5.3,4.3,3.6,3.6,1.2,-0.2
Luke Jackson,87.7,5.1,4.8,4.2,3.6,1.7,0.8
Michael Brooks,87.5,4.9,4.7,4.5,2.4,0,0
Stephen Jackson,87.2,4.8,4.4,4.4,3.1,0.9,-0.1
Randolph Mahaffey,87.1,5.7,4.7,3.7,2.6,NA,NA
Aaron Gordon,86.2,5.4,5.1,3.7,2.9,1,NA
Marcus Morris,86.0,5.4,4.2,4,3.9,1.8,-0.2
Nenê Hilário,85.1,6.1,5.3,5,3.2,0.3,-0.1
Kenny Carr,83.8,5.8,5.1,3.8,2.9,1.1,0
