Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
K.J. McDaniels,,0.6,0.5,0.2,NA,NA
Darrin Hancock,81.4,0.5,0.4,0.2,NA,NA
DeAndre Liggins,75.9,0.6,0.5,0.5,0,0
Kennard Winchester,74.0,0.5,0.4,0.3,NA,NA
Markel Brown,73.9,0.6,0.5,0,NA,NA
Jordan McRae,69.6,0.5,0.4,0.2,NA,NA
Kris Dunn,67.8,0.9,0.6,0.1,NA,NA
Acie Law,67.3,0.7,0.6,0.4,-0.1,NA
Keith McLeod,67.1,0.8,0.6,0.3,0.2,NA
Zoran Planinić,66.3,0.8,0.7,0.1,NA,NA
Mario West,66.2,0.5,0.4,0.3,0.2,NA
