Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jim McDaniels,,7.7,0.8,0.5,0,0,NA
Tod Murphy,72.3,6.1,1.4,0.4,0.1,0.1,NA
Larry Sanders,55.6,6,1.6,1,1,0.7,0
Skip Thoren,52.1,7,4.4,1.6,NA,NA,NA
Ed Johnson,48.0,5.1,2.4,1,NA,NA,NA
Craig Raymond,47.7,4.7,1.7,1,0,0,NA
Manny Leaks,47.5,7.3,5.2,1.1,0.8,0.2,-0.2
Jusuf Nurkić,45.8,7.8,4.7,2,1.6,0.4,NA
Kim Hughes,45.6,6.8,2.3,2.2,2.2,0.4,-0.1
Jamie Feick,44.6,4.8,2.2,0.9,0.2,0.2,NA
Greg Oden,44.3,4.6,2.2,0.5,NA,NA,NA
