Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jim McDaniels,,7.7,0.8,0.5,0,0
Tod Murphy,72.3,6.1,1.4,0.4,0.1,0.1
Kosta Koufos,60.0,6.5,2.7,1.3,0.2,0
Larry Sanders,55.7,6,1.6,1,1,0.7
Kendrick Perkins,55.5,6.2,2.3,1.4,0.7,0.1
Skip Thoren,52.1,7,4.4,1.6,NA,NA
Manny Leaks,51.7,7.3,5.2,1.1,0.2,-0.2
Jerome Whitehead,51.7,5.3,2.1,0.2,0.2,0.1
Joel Przybilla,48.8,4.7,1.9,0.6,0.1,0.1
Ed Johnson,48.0,5.1,2.4,1,NA,NA
Craig Raymond,47.7,4.7,1.7,1,0,0
