Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Travis Knight,,3.3,3,1.1,0.6,0.2,-0.1,-0.3
Željko Rebrača,81.4,3.3,2.4,1.3,0.7,0.5,NA,NA
Salah Mejri,78.1,3,2.7,1.3,1.1,NA,NA,NA
Alexis Ajinça,77.3,3.2,2.1,1,1,0.4,0,-0.1
Boban Marjanović,77.3,3.4,3,1.7,1.5,NA,NA,NA
Tarik Black,76.9,3.1,2.4,1.5,0.7,NA,NA,NA
Stanley Roberts,75.8,3.2,2.1,1.8,0.7,0.5,-0.1,-0.1
Isaac Austin,75.1,4,3.6,1.2,0.3,0.3,0.2,0
Brad Sellers,73.7,3.3,3.3,2.6,0.4,0.2,0,NA
Reggie Harding,72.7,3.1,2.6,1.6,0,NA,NA,NA
Bob Hopkins,72.2,3.5,2.7,1.9,1.4,NA,NA,NA
