Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Julius Keye,,5.3,4.3,3.6,3.6,1.2,-0.2
Marcus Morris,91.5,5.4,4.2,4,3.9,1.8,-0.2
Aaron Gordon,89.2,5.4,5.1,3.7,2.9,1,NA
Keon Clark,88.4,5.3,4.7,4.2,3.7,0.2,0
Stephen Jackson,88.0,4.8,4.4,4.4,3.1,0.9,-0.1
Luke Jackson,87.1,5.1,4.8,4.2,3.6,1.7,0.8
Paul Griffin,87.0,4.9,4.4,4.1,2.9,1.6,0.4
Kenny Carr,86.8,5.8,5.1,3.8,2.9,1.1,0
Bob Harris,86.5,5,4.3,3.4,1.9,1,NA
DeJuan Blair,85.9,4.8,4.6,4,3.4,2.2,0.1
George Irvine,85.0,5.5,3.7,3.2,2.5,1.2,0
