Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Julius Keye,,5.3,4.3,3.6,3.6,1.2,-0.2,NA
Aaron Gordon,89.2,5.4,5.1,3.7,2.9,1,NA,NA
Keon Clark,88.4,5.3,4.7,4.2,3.7,0.2,0,NA
Bob Harris,86.5,5,4.3,3.4,1.9,1,NA,NA
DeJuan Blair,85.6,4.8,4.6,4,3.4,2.2,0.1,-0.1
George Irvine,85.0,5.5,3.7,3.2,2.5,1.2,0,NA
Goo Kennedy,84.0,5.7,5,4.5,4,0.8,0.3,NA
Randolph Mahaffey,82.8,5.7,4.7,3.7,2.6,NA,NA,NA
Scott May,82.4,5.4,4.2,3.1,2.4,2.2,0.1,-0.1
Nikola Mirotić,81.8,5.7,4,3.9,3.8,3.5,NA,NA
Paul Griffin,81.6,4.9,4.4,4.1,2.9,1.6,1.4,0.4
