,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,23,DNR,ABA,,11,,0,,,,8,10,,,,,,,,,27
1970-71,24,DNR,ABA,,17,,0,,,,9,10,,,,,,,,,38
1971-72,25,DNR,ABA,,6,,0,,,,7,11,,,,,,,,,17
1972-73,26,DNR,ABA,,8,,1,,,,10,12,,,,,,,,,16
1973-74,27,DNR,ABA,,8,,1,,,,5,6,,,,,,,,,16
1974-75,28,MMS,ABA,,3,,0,,,,1,2,,,,,,,,,6
Career,,,,,17,,1,,,,10,12,,,,,,,,,38
5 Seasons,,DNR,ABA,,17,,1,,,,10,12,,,,,,,,,38
1 Season,,MMS,ABA,,3,,0,,,,1,2,,,,,,,,,6
