Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86,24,WSB,NBA,SG,1,0,12:00,3,5,0.6,0,0,NA,0,0,NA,0,1,4,1,0,0,0,6
1986-87,25,WSB,NBA,SG,1,0,13:00,3,5,0.6,0,1,0,0,0,NA,1,2,2,0,0,1,1,6
Career,NA,,NBA,,2,0,25,6,10,0.6,0,1,0,0,0,NA,1,3,6,1,0,1,1,12
