Season,Team,Lg,Salary
1984-85,Washington Bullets,NBA,"$211,000"
1985-86,Washington Bullets,NBA,"$231,000"
1987-88,Washington Bullets,NBA,"$600,000"
1988-89,Washington Bullets,NBA,"$816,666"
1989-90,Washington Bullets,NBA,"$1,000,000"
1990-91,Utah Jazz,NBA,"$915,000"
1991-92,Utah Jazz,NBA,"$1,580,000"
1992-93,Utah Jazz,NBA,"$1,980,000"
1993-94,Utah Jazz,NBA,"$2,380,000"
1994-95,Philadelphia 76ers,NBA,"$1,930,000"
1995-96,Philadelphia 76ers,NBA,"$2,380,000"
Career,(may be incomplete),,"$14,023,666"
