Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Richard Dumas,,3.9,0.3,0.3,NA,NA
Archie Dees,86.0,3.7,0.7,0.4,NA,NA
Tom Marshall,75.1,3.5,0.7,0.2,-0.3,NA
Harthorne Wingo,69.8,3.9,1.4,0.9,0,NA
Cedric Henderson,67.8,3.8,0.5,0,-0.2,-0.7
Don Lofgran,64.4,2.9,0.1,0.1,NA,NA
Paul Graham,63.8,3.6,1.9,0.2,NA,NA
Giff Roux,61.4,3.4,0.8,-0.5,NA,NA
Dorian Finney-Smith,61.1,3.3,1.4,0.1,NA,NA
Dick Schulz,60.0,2.9,0.8,0.6,0,NA
Larry Spriggs,59.6,2.6,0.5,0.3,0.1,0
