Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,20,BOS,BAA,SF,21,NA,NA,NA,NA,0.368,NA,NA,0.626,NA,NA,NA,NA
1949-50,21,BOS,NBA,SF,55,NA,NA,NA,NA,0.372,NA,NA,0.654,NA,NA,NA,NA
1950-51,22,NYK,NBA,SF,61,NA,NA,NA,NA,0.388,NA,NA,0.624,NA,NA,NA,NA
1951-52,23,NYK,NBA,SF,52,NA,955,4.3,11.6,0.375,3.5,5.1,0.687,7.4,3.3,4,12.1
1952-53,24,BLB,NBA,SF,23,NA,380,4.3,13.5,0.317,4.2,6.3,0.657,7.1,2.9,5.6,12.7
Career,NA,,TOT,,212,NA,1335,4.3,12.1,0.37,3.7,5.4,0.65,7.3,3.2,4.5,12.3
,NA,,NBA,,191,NA,1335,4.3,12.1,0.37,3.7,5.4,0.655,7.3,3.2,4.5,12.3
,NA,,BAA,,21,NA,NA,NA,NA,0.368,NA,NA,0.626,NA,NA,NA,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYK,NBA,,113,NA,955,4.3,11.6,0.381,3.5,5.1,0.656,7.4,3.3,4,12.1
2 seasons,NA,BOS,BAA,,76,NA,NA,NA,NA,0.371,NA,NA,0.644,NA,NA,NA,NA
1 season,NA,BLB,NBA,,23,NA,380,4.3,13.5,0.317,4.2,6.3,0.657,7.1,2.9,5.6,12.7
