,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1950-51,22,NYK,NBA,,3,,1,3,,,2,7
1951-52,23,NYK,NBA,,5,,6,9,,,6,14
Career,,,,,5,,6,9,,,6,14
