Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1948-49,20,BOS,BAA,SF,21,NA,NA,0.416,0.365,NA,NA,NA,NA,NA,1.6,0.8,2.4,NA
1949-50,21,BOS,NBA,SF,55,NA,NA,0.426,0.389,NA,NA,NA,NA,NA,2.3,1,3.4,NA
1950-51,22,NYK,NBA,SF,61,NA,NA,0.44,0.437,NA,NA,NA,NA,NA,1.1,0.4,1.6,NA
1951-52,23,NYK,NBA,SF,52,955,14.7,0.44,0.436,NA,NA,NA,NA,NA,1,0.8,1.7,0.088
1952-53,24,BLB,NBA,SF,23,380,11.3,0.391,0.472,NA,NA,NA,NA,NA,-0.2,0.1,-0.1,-0.018
Career,NA,,TOT,,212,1335,13.7,0.426,0.409,NA,NA,NA,NA,NA,5.8,3.1,8.9,0.057
,NA,,NBA,,191,1335,13.7,0.429,0.42,NA,NA,NA,NA,NA,4.2,2.3,6.5,0.057
,NA,,BAA,,21,NA,NA,0.416,0.365,NA,NA,NA,NA,NA,1.6,0.8,2.4,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYK,NBA,,113,955,14.7,0.44,0.437,NA,NA,NA,NA,NA,2.1,1.2,3.3,0.088
2 seasons,NA,BOS,BAA,,76,NA,NA,0.422,0.38,NA,NA,NA,NA,NA,3.9,1.9,5.8,NA
1 season,NA,BLB,NBA,,23,380,11.3,0.391,0.472,NA,NA,NA,NA,NA,-0.2,0.1,-0.1,-0.018
