,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1948-49,20,BOS,BAA,,10,,7,10,,,,25
1949-50,21,BOS,NBA,,12,,10,14,,,,34
1950-51,22,NYK,NBA,,6,,8,11,,,,20
1951-52,23,NYK,NBA,,10,,10,16,,,5,30
1952-53,24,BLB,NBA,,9,,11,15,,,6,29
Career,,,TOT,,12,,11,16,,,,34
,,,NBA,,12,,11,16,,,,34
,,,BAA,,10,,7,10,,,,25
,,,,,,,,,,,,
2 Seasons,,NYK,NBA,,10,,10,16,,,,30
2 Seasons,,BOS,NBA,,12,,10,14,,,,34
1 Season,,BLB,NBA,,9,,11,15,,,6,29
