Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
George Kaftan,,3.4,2.4,1.7,1.6,-0.1,NA,NA,NA
Bobby Portis,95.4,3.5,2.4,1.6,1.5,NA,NA,NA,NA
Don Barksdale,89.3,3.1,2.3,2.2,1.5,NA,NA,NA,NA
Billy Thompson,88.8,3.6,2.8,1.7,1.6,0,-0.1,NA,NA
Bob Doll,86.7,4,2.8,1.8,1.6,NA,NA,NA,NA
Josh Boone,86.3,3.7,1.8,1.8,1.7,NA,NA,NA,NA
George Trapp,85.8,3.5,2.4,1.5,1,0.1,-0.2,NA,NA
Shellie McMillon,83.9,2.5,2.2,1.7,1.7,NA,NA,NA,NA
Anthony Bonner,82.2,4.1,2.4,1.8,1.6,0.7,0,NA,NA
Cristiano Felício,81.7,3.4,1.7,1.4,1.2,NA,NA,NA,NA
Ira Newble,80.9,3.3,2.3,1.9,0.9,0.5,0.2,0.1,0.1
