Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Collis Jones,,4.2,3.2,2.1,1.2,NA,NA
Nemanja Bjelica,90.1,4.5,2.8,1.9,1.5,NA,NA
Bill Garnett,90.1,3.9,3.5,2,1.5,NA,NA
Reggie Johnson,89.9,3.9,3,2.4,1.6,NA,NA
Marv Roberts,89.7,4.3,3.4,2.4,1.2,0.4,-0.2
Eddie Griffin,89.3,3.9,3.2,2.4,1.5,-0.2,NA
Dave Budd,88.3,4.1,3.2,2.3,1.2,0.9,NA
Bob Doll,87.7,4,2.8,1.8,1.6,NA,NA
Derrek Dickey,86.5,3.8,3.1,2.3,1.7,0.3,NA
Kyle Singler,86.4,4.4,2.3,2,1.1,0.3,0
Richaun Holmes,85.8,4.3,3.8,2.8,1.5,NA,NA
