Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Collis Jones,,4.2,3.2,2.1,1.2
Jonas Jerebko,94.2,4.4,3.3,2,1.4
Danny Fortson,93.9,4.4,3.5,1.9,1.1
T.J. Warren,93.3,4.1,3.4,2.2,1.1
Eddie Griffin,90.7,3.9,3.2,2.4,1.5
Terrence Ross,90.4,4.2,3.6,2.4,0.9
Darius Songaila,90.3,4.3,2.6,2.5,1.1
Nemanja Bjelica,90.1,4.5,2.8,1.9,1.5
Bill Garnett,90.1,3.9,3.5,2,1.5
Andrea Bargnani,90.0,4.2,3.9,1.9,1.4
Danny Vranes,90.0,4.2,3.4,2.4,1.8
